contributor	enterer	created	modified	location no	location name	ecozone	country	state	county	island	latitude	longitude	altitude value	geography comments	habitat	altered habitat	disturbance	MAT	CMT	WMT	MART	MAP	habitat comments	years	days	seasons	sampling comments	genus	species	subspecies	scats	vertebrate	mammal	bird	reptile	amphibian	fish	invertebrate	arthropod	arachnid	crustacean	insect	annelid	mollusc	plant	flower	fruit	seed	leaf	grass	tuber	fungus	lichen	reference
John Alroy	John Alroy	2021-06-27 13:25:55	2021-06-27 13:25:55	361	Archbold Biological Station (2004 - 2006)	Nearctic	United States	Florida		continent	27.183344	-81.350014	47	"in Highlands and Glades counties"   the study area is clearly centered on Archbold Biological Station (Fig. 1), the basis of the coordinate   "Average elevation is 47 m"	tropical/subtropical dry broadleaf forest	cropland		21.200				1360.0	"humid sub-tropical with hot, wet summers and mild, dry winters"   land conversion is to agriculture (41 ), citrus groves (12 ), open pasture (23 ), urban areas (12 ), leaving "freshwater lakes and wetlands" (11 )	2004 - 2006			the study was from "May 2004 to April 2006"	Ursus	americanus	floridanus	166		21	5	4				20	5		138			101		205		11	11			1	S. M. Murphy, W. A. Ulrey, J. M. Guthrie, D. S. Maehr, W. G. Abrahamson, S. C. Maehr, and J. J. Cox. 2017. Food habits of a small Florida black bear population in an endangered ecosystem. Ursus 28:92-104.
John Alroy	John Alroy	2021-06-27 14:30:51	2021-06-27 14:36:47	362	Humboldt Bay	Nearctic	United States	California	Humboldt	continent	40.750011	-124.233345		"13 latrines at 5 sites around the perimeter of Humboldt Bay, and from a 6th site 19 km north along the Pacific coast in Humboldt County"   coordinate based on Humboldt Bay	temperate wetland								"1 estuary... 1 dead-end slough... 1 water treatment marsh complex... 1 deep channel of the bay, and 2 watercourses running into the bay. Th esites were influenced by semi-diurnal tides"	2005, 2006			collecting was "from 19 July 2005 through 27 July 2006"	Lontra	canadensis		440			36			265	13				25		153										T. F. Penland and J. M. Black. 2009. Seasonal variation in River Otter diet in coastal Northern California. Northwestern Naturalist 90:233-237.
John Alroy	John Alroy	2021-06-27 14:42:03	2021-06-27 14:42:03	363	North Bilaspur Forest Division	Indomalaya	India	Chhattisgarh		continent	22.891678	81.983345		in "the Pendra and Marwahi administrative ranges"	tropical/subtropical dry broadleaf forest	cropland	grazing					1381.0	"Forests covered about 337 km2 of the total study area of about 1,396 km2... the vegetation... is northern tropical dry deciduous peninsular sal forest, northern tropical dry mixed deciduous forest, and northern tropical moist mixed deciduous forest... Habitat... is highly degraded and interspersed with villages and agricultural fields"	1998 - 2000			collection was from "May 1998 December 2000... We randomly selected 16 scats from each month of collection for analysis (except during monsoons, when all scats were used)" for a total of 568 scats: 192 summer, 184 monsoon, and 192 winter	Melursus	ursinus		568		4									900				2	104							H. S. Bargali, N. Akhtar, and N. P. S. Chauhan. 2004. Feeding ecology of sloth bears in a  disturbed area in central India. Ursus 15:212-217.
John Alroy	John Alroy	2021-06-27 14:55:24	2021-06-27 14:55:24	364	North Fork of the Middle Fork Willamette River	Nearctic	United States	Oregon	Lane	continent	43.630001	-122.169998	500	"in the Willamette National Forest about 55 km east of Eugene, Lane County, Oregon. Terrain was dissected by drainages of the North Fork of the Middle Fork Willamette River"   elevation 500 to 1500 m	temperate coniferous forest							1500.0	"Western Cascade maritime area... western hemlock (Tsuga heterophylla) zone... Douglas-fir... was dominant over most of the area"	1982 - 1984			"Scats were collected... almost daily from 15 October 1982 through 30 June 1984"	Canis	latrans		844		849	70	14							22					319			113				D. E. Toweill and R. G. Anthony. 1988. Coyote foods in a coniferous forest in Oregon. Journal of Wildlife Management 52:507-512.
John Alroy	John Alroy	2021-06-27 15:09:13	2021-06-27 15:09:13	365	Great Indian Bustard Sanctuary	Indomalaya	India	Maharashtra		continent	17.827787	75.859734		"at Nannaj"	tropical/subtropical savanna		agriculture,grazing					600.0	"6 protected grassland patches (34-200 ha) within a matrix of sugarcane fields, vineyards, seasonal crops, communal grazing lands, and forestry plantations"	2005 - 2007			collections were made "every month for 20 months (2005-2007)"   dog scats were from near farms and outside villages and fox scats were from near dens and trails used by foxes, but there no consistent geographic separation is indicated	Canis	lupus	familiaris	320		173	26	4							30			172		48							A. B. Vanak and M. E. Gompper. 2009. Dietary niche separation between sympatric free-ranging domestic dogs and Indian foxes in central India. Journal of Mammalogy 90:1058-1065.
John Alroy	John Alroy	2021-06-27 15:09:13	2021-06-27 15:09:13	365	Great Indian Bustard Sanctuary	Indomalaya	India	Maharashtra		continent	17.827787	75.859734		"at Nannaj"	tropical/subtropical savanna		agriculture,grazing					600.0	"6 protected grassland patches (34-200 ha) within a matrix of sugarcane fields, vineyards, seasonal crops, communal grazing lands, and forestry plantations"	2005 - 2007			collections were made "every month for 20 months (2005-2007)"   dog scats were from near farms and outside villages and fox scats were from near dens and trails used by foxes, but there no consistent geographic separation is indicated	Vulpes	bengalensis		436		584	86	183							408			69		240							A. B. Vanak and M. E. Gompper. 2009. Dietary niche separation between sympatric free-ranging domestic dogs and Indian foxes in central India. Journal of Mammalogy 90:1058-1065.
John Alroy	John Alroy	2021-06-27 15:30:31	2021-06-27 15:30:31	366	Killarney National Park	Palearctic	Ireland			medium-sized oceanic island	52.000011	-9.550010		coordinate is based on Killarney National Park	temperate savanna		invasive plants						14  is "semi-natural woodland", 24  is lakes, and 62  is "upland blanket bog, heathland, rivers and streams"   "All the woodlands" are "infested with rhododendron"			spring,summer,autumn	the study was from "April to September in 2003 and 2004"	Martes	martes		387		179	79		48			42			216	27	8			265							A. B. Lynch and Y. McCann. 2007. The diet of the pine marten (Martes martes) in Killarney National Park. Biology and Environment: Proceedings of the Royal Irish Academy 107B:67-76.
John Alroy	John Alroy	2018-02-07 13:54:45	2018-02-07 13:54:45	367	Hustain Nuruu National Park	Palearctic	Mongolia			continent	47.783344	106.016678	1440	"within a 418-km2 area in the Hustain Nuruu National Park buffer zone"   elevation 1200 to 1680 m	desert/xeric shrubland			1.200				165.0	habitat types were "steppe, mountain steppe, rocky, and ravine"	2006, 2007			scats "were collected between June 2006 and October 2007"	Otocolobus	manul		146		213	10	3							23												S. Ross, B. Munkhtsog, and S. Harris. 2010. Dietary composition, plasticity, and prey selection of Pallas's cats. Journal of Mammalogy 91:811-817.
John Alroy	John Alroy	2021-06-27 16:39:48	2021-06-27 16:39:48	368	Rogów	Palearctic	Poland			continent	51.800011	19.883343		"in the vicinity of the town Rog w... 105 km2"	temperate broadleaf/mixed forest		agriculture	20.500	-3.500	17.800			"A forest-field mosaic" with "fresh pine forest" accounting for 46 , "mixed deciduous forest" 38 , coniferous forest 10 , and alder forest 2 ; fields are "about 1 ha" in size	2001 - 2004			the study was "in 2001-2004"	Martes	foina		287		148	79								130					225							M. Posluszny, M. Pilot, J. Goszczynski, and B. Gralak. 2007. Diet of sympatric pine marten (Martes martes) and stone marten (Martes foina) identified by genotyping of DNA from faeces. Annales Zoologici Fennici 44:269-284.
John Alroy	John Alroy	2021-06-27 16:39:48	2021-06-27 16:39:48	368	Rogów	Palearctic	Poland			continent	51.800011	19.883343		"in the vicinity of the town Rog w... 105 km2"	temperate broadleaf/mixed forest		agriculture	20.500	-3.500	17.800			"A forest-field mosaic" with "fresh pine forest" accounting for 46 , "mixed deciduous forest" 38 , coniferous forest 10 , and alder forest 2 ; fields are "about 1 ha" in size	2001 - 2004			the study was "in 2001-2004"	Martes	martes		155		118	61								39					52							M. Posluszny, M. Pilot, J. Goszczynski, and B. Gralak. 2007. Diet of sympatric pine marten (Martes martes) and stone marten (Martes foina) identified by genotyping of DNA from faeces. Annales Zoologici Fennici 44:269-284.
John Alroy	John Alroy	2021-06-27 16:52:30	2021-06-27 16:52:30	331	Houhe National Nature Reserve	Palearctic	China	Hubei		continent	30.066677	110.666679	1400	"in southern Wufeng Tujiazu Autonomous County in southwestern Hubei Province"   altitude 1000 to 1800 m	temperate broadleaf/mixed forest			11.500				1814.0	"coniferous forest, broadleaf forest, bamboo forest, and shrubs and grass brush"	2005, 2006			"Ferret badgers were caught in double-door wire box traps... baited with wild fruit and dead chickens... Tracking of radiocollared animals was carried out from April 2005 to November 2006... To determine nighttime patterns of space use, nocturnal locations were recorded for 3 nights per radiocollared ferret badger per month at hourly intervals between sunset and sunrise... the distance moved was calculated as the sum of the distances covered between each successive fix"   home ranges were computed "from the recorded sett locations" and not the tracking data, but the setts were identified using the tracking data   Martes flavigula scats were collected from "September to November 2004" and "April 2005 to May 2006" (Zhou et al. 2011)	Martes	flavigula		276		128	18	9	7					2	178		5	4	2	238		12					Y.-B. Zhou, C. Newman, C. D. Buesching, A. Zalewski, Y. Kaneko, D. W. Macdonald, and Z.-Q. Xie. 2011. Diet of an opportunistically frugivorous carnivore, Martes flavigula, in subtropical forest. Journal of Mammalogy 92:611-619.
John Alroy	John Alroy	2021-06-27 17:17:54	2021-06-27 17:17:54	369	Chamela-Cuixmala Biosphere Reserve (1995 - 1996)	Neotropic	Mexico	Jalisco		continent	19.475010	-104.991676	250	coordinate is given by Valenzuela and Macdonald (2002), ER 1967   elevation is 0 to 500 m according to these authors	tropical/subtropical dry broadleaf forest							748.0	"tropical deciduous forest and tropical semideciduous forest are most common"	1995, 1996			the study was from "March 1995 to December 1996" continuously	Leopardus	pardalis		51		59	4	42							4						17		4				A. de Villa Meza, E. Martinez Meyer, and C. A. López González. 2002. Ocelot (Leopardus pardalis) food habits in a tropical deciduous forest of Jalisco, Mexico. American Midland Naturalist 148:146-154.
John Alroy	John Alroy	2021-06-28 08:25:33	2021-06-28 08:25:33	370	Middle Fork of the Tule River	Nearctic	United States	California	Tulare	continent	36.100010	-118.533340		"in the watershed of the Middle Fork of the Tule River"   coordinate based on Ponderosa in Tulare County	temperate broadleaf/mixed forest							1049.0	"from mixed chaparral... in the lower and drier elevations to true fir forests... and wet meadow at higher elevations" with "montane hardwood forest... ponderosa pine... and mixed coniferous forest" in between   MAP data are for a site at "ca. 2,000 m, 40 km to the north"	1994 - 1996		winter,spring,summer,autumn	plants identified to the genus level represent seeds	Pekania	pennanti		201		158	80	41					1		112			23			18						W. J. Zielinski, N. P. Duncan, E. C. Farmer, R. L. Truex, A. P. Clevenger, and R. H. Barrett. 1999. Diet of fishers (Martes pennanti) at the southernmost extent of their range. Journal of Mammalogy 80:961-971.
John Alroy	John Alroy	2021-06-28 08:45:38	2021-06-28 08:45:38	370	Middle Fork of the Tule River	Nearctic	United States	California	Tulare	continent	36.100010	-118.533340		"in the watershed of the Middle Fork of the Tule River"   coordinate based on Ponderosa in Tulare County	temperate broadleaf/mixed forest							1049.0	"from mixed chaparral... in the lower and drier elevations to true fir forests... and wet meadow at higher elevations" with "montane hardwood forest... ponderosa pine... and mixed coniferous forest" in between   MAP data are for a site at "ca. 2,000 m, 40 km to the north"	1994 - 1996		winter,spring,summer,autumn	plants identified to the genus level represent seeds	Martes	caurina		150		157	28	9							96						32						W. J. Zielinski and N. P. Duncan. 2004. Diets of sympatric populations of American martens (Martes americana) and fishers (Martes pennanti) in California. Journal of Mammalogy 85:470-477.
John Alroy	John Alroy	2021-06-28 09:03:12	2021-06-28 09:03:12	371	Plitvice Lakes National Park	Palearctic	Croatia			continent	44.883343	15.616677		coordinate based on Plitvice Lakes National Park	temperate broadleaf/mixed forest		agriculture,grazing						"81  forests, 1  lakes and streams, and 18  meadows and small settlements" with "tourism and small-scale farming (cattle, sheep, oats, and plums)"   beech, fir, and spruce dominate	1984 - 1986			the study was "From March 1984 through January 1986"	Ursus	arctos		95		4									21			8		88		26	28				L. Cicnjak, D. Huber, H. U. Roth, R. L. Ruff, and Z. Vinovrski. 1987. Food habits of brown bears in Plitvice Lakes National Park, Yugoslavia. International Conference on Bear Research and Management 7:221-226.
John Alroy	John Alroy	2021-06-28 09:17:52	2021-06-28 09:17:52	54	Ulu Segama Forest Reserve	Indomalaya	Malaysia	Sabah		large oceanic island	4.961121	117.800011	375	"on the eastern side" of Sabah   elevation 150 to 600 m	tropical/subtropical moist broadleaf forest		selective logging	26.700				2700.0	"The reserve encompasses both forests that were selectively logged... and primary forest including the 43,800 ha Danum Valley conservation area (DVCA)... Lowland, evergreen dipterocarp forest comprises about 91  of the conservation area; the remaining area is lower montane forest"	1998 - 2000			home ranges are 95  adaptive kernel estimates   daily movement is "Linear distance (m) between consecutive daily locations (approximately 24 h apart)"   "The study was conducted between May 1998 and December 2000" (Wong et al. 2002)	Helarctos	malayanus		56	28		1	5			7				109			12	1	48							S. T. Wong, C. Servheen, and L. Ambu. 2002. Food habits of Malayan sun bears in lowland tropical forests of Borneo. Ursus 13:127-136.
John Alroy	John Alroy	2021-06-28 11:47:56	2021-06-28 19:04:39	372	Qinghai Lake	Palearctic	China	Qinghai		continent	37.000011	100.133347	3400	"around the Qinghai Lake" (basis of coordinate)   elevation 3200 to 3600 m	desert/xeric shrubland		grazing	0.700				384.0	"The annual average temperature is 1.1 C at Hudong, on the east shore of the lake and 0.3 C at Jiangxigou on the south shore. Temperature extremes are 25 C in summer and -31 C in winter. Annual precipitation varied from 360-370 mm in the northwest part of the lake, to 395-412 mm in the southeast part of the lake, with the most precipitation falling from June to September... A seasonal pastoral animal husbandry system is still practiced in the region... The vegetation community within the study area is classified as steppe, desert shrub, alpine shrub and alpine meadow"   entered MAT and MAP values are averages	1998 - 2001			"Wolf scats were collected from August 1998 to August 2001"   counts combine values for the "plant green" and "plant withering" periods	Canis	lupus		119		149	5	5			40							3									B. Liu and Z. Jiang. 2003. Diet composition of wolves Canis lupus in the northeastern Qinghai-Tibet Plateau, China. Acta Theriologica 48:255-263.
John Alroy	John Alroy	2016-03-01 20:22:27	2016-03-01 20:22:27	373	Dwesa Nature Reserve	Afrotropic	South Africa	Eastern Cape		continent	-32.200008	28.966677		"in the Dwesa Nature Reserve"	tropical/subtropical dry broadleaf forest							1069.0	"ca. 3900 ha of coastal and dune forest habitat"	2003, 2004			"Scats were collected from October 2003 to May 2004"   seed count is of "seeds fruit"	Genetta	tigrina		372		393	29	23		7		168	112	95	857	1	7	56	2		172	253	256				P. D. Roberts, M. J. Somers, R. M. White, and J. A. J. Nel. 2007. Diet of the South African large-spotted genet Genetta tigrina (Carnivora, Viverridae) in a coastal dune forest. Acta Theriologica 52:45-53.
John Alroy	John Alroy	2021-06-28 12:15:01	2021-06-28 12:25:43	374	Hedmark County	Palearctic	Norway			continent	60.166676	12.500010	300	"in Hedmark County... 100 km2, of which the eastern part of the Varald State Forest (c. 40 km2) constituted an intensively monitored core area"   elevation 200 to 400 m	temperate coniferous forest		selective logging		-5.100	15.800		700.0	primarily "Norway spruce Picea abies (40   standing volume) and Scots pine Pinus silvestris (58   standing volume) forests... except for logging operations and recreational activities, human impact and disturbance are low"	2005, 2006, 2009, 2010		winter,spring,summer,autumn	"Fox scats were collected along forest roads and trails in April and July 2005, May and August 2006, and December 2009 to March 2010"   vertebrate count is of "amphibians and reptiles"   seed count is of "berries and seeds"	Vulpes	vulpes		282	112	620	140				205										337						R. Needham, M. Odden, S. K. Lundstadsveen, and P. Wegge. 2014. Seasonal diets of red foxes in a boreal forest with a dense population of moose: the importance of winter scavenging. Acta Theriologica 59:391-398.
John Alroy	John Alroy	2021-06-28 12:37:00	2021-06-28 12:44:26	375	Natural Reserve of Lago di Piano	Palearctic	Italy			continent	46.016678	9.116677	425	"between the western coast of Lario (Como lake) and the Ceresio (Lugano lake), in the Como County"   elevation 280 to 570 m	temperate broadleaf/mixed forest		agriculture,grazing	11.900	2.600	21.500		1606.0	"temperature sub-maritime... deciduous forest with some coniferous secondary woods, arable land, pastures, and orchards. The reserve is characterised by a strong human impact due to the high tourist activities"	1997 - 1999		winter,spring,summer,autumn	scats were collected between "June 1997 and July 1999"   counts are broken down by season	Meles	meles		118		31	8	1	3			24			184	36	10	96		154							R. Boesi and C. M. Biancardi. 2002. Diet of the Eurasian badger Meles meles (Linnaeus, 1758) in the Natural Reserve of Lago di Piano, northern Italy. Mammalian Biology 67:120-125.
John Alroy	John Alroy	2021-06-28 12:57:59	2021-06-28 12:57:59	376	Sierra de Andujar Natural Park	Palearctic	Spain			continent	38.283344	-4.033343	850	coordinate is based on Parque natural de la Sierra de And jar   altitude 200 to 1500 m	Mediterranean woodland		hunting						"covered with well-conserved Mediterranean woodlands and scrublands... The land is mainly used for big game hunting"	2001, 2002			"Samples were collected from October 2001 to September 2002"	Lynx	pardinus		360		375	48								5												J. M. Gil-Sánchez, E. Ballesteros-Duperón, and J. F. Bueno-Segura. 2006. Feeding ecology of the Iberian lynx Lynx pardinus in eastern Sierra Morena (Southern Spain). Acta Theriologica 51:85-90.
John Alroy	John Alroy	2018-02-05 20:47:49	2018-02-05 20:47:49	377	Houhe National Nature Reserve (2011 - 2013)	Palearctic	China	Hubei		continent	30.066677	110.666679	1400	"in southern Wufeng Tujiazu Autonomous County in southwestern Hubei Province" (Zhang et al. 2010)   altitude 1000 to 1800 m (Zhang et al. 2010)	temperate broadleaf/mixed forest			11.500				1814.0	"The main natural forest types within the reserve are coniferous, broadleaf and bamboo"	2011 - 2013			"Between February 2011 and April 2013, hog badger faeces were collected every 2 weeks"   originally identified as Arctonyx collaris	Arctonyx	albogularis		735		6	6	5			131	74			552	682		386		83		475		168	2		Y. Zhou, W. Chen, Y. Kaneko, C. Newman, Z. Liao, X. Zhu, C. D. Buesching, Z. Xie, and D. W. Macdonald. 2015. Seasonal dietary shifts and food resource exploitation by the hog badger (Arctonyx collaris) in a Chinese subtropical forest. European Journal of Wildlife Research 61:125-133.
John Alroy	John Alroy	2018-02-08 21:08:59	2018-02-08 21:08:59	378	Paraná Devonian Scarp	Neotropic	Brazil	Paraná		continent	-25.408342	-49.675011	1021	"from three different localities within the Paran  Devonian Scarp: Bugre District, S o Luis do Purun  District, and Santa Rita Ranch"   elevation 900 to 1142 m	tropical/subtropical dry broadleaf forest		agriculture,grazing		14.000	21.000		1600.0	"subtropical, mesothermic, and constantly humid with mild summers... natural grasslands (Campos Gerais) and Araucaria Pine Forest (Mixed Ombrophilous Forest)... natural grasslands have been extensively converted to grazing fields and alternating crops"	2006, 2007			"We walked an average of 12 km per locality every month from April 2006 through March 2007, in order to search for carnivores' fecal samples in forest fragments, natural grasslands, and pasture fields"	Leopardus	tigrinus		36		65	10	1																			J. E. Silva-Pereira, R. F. Moro-Rios, D. R. Bilski, and F. C. Passos. 2011. Diets of three sympatric Neotropical small cats: Food niche overlap and interspecies differences in prey consumption. Mammalian Biology 76:308-312.
John Alroy	John Alroy	2018-02-08 21:08:59	2018-02-08 21:08:59	378	Paraná Devonian Scarp	Neotropic	Brazil	Paraná		continent	-25.408342	-49.675011	1021	"from three different localities within the Paran  Devonian Scarp: Bugre District, S o Luis do Purun  District, and Santa Rita Ranch"   elevation 900 to 1142 m	tropical/subtropical dry broadleaf forest		agriculture,grazing		14.000	21.000		1600.0	"subtropical, mesothermic, and constantly humid with mild summers... natural grasslands (Campos Gerais) and Araucaria Pine Forest (Mixed Ombrophilous Forest)... natural grasslands have been extensively converted to grazing fields and alternating crops"	2006, 2007			"We walked an average of 12 km per locality every month from April 2006 through March 2007, in order to search for carnivores' fecal samples in forest fragments, natural grasslands, and pasture fields"	Herpailurus	yagouaroundi		51		96	13	5																			J. E. Silva-Pereira, R. F. Moro-Rios, D. R. Bilski, and F. C. Passos. 2011. Diets of three sympatric Neotropical small cats: Food niche overlap and interspecies differences in prey consumption. Mammalian Biology 76:308-312.
John Alroy	John Alroy	2018-02-08 21:08:59	2018-02-08 21:08:59	378	Paraná Devonian Scarp	Neotropic	Brazil	Paraná		continent	-25.408342	-49.675011	1021	"from three different localities within the Paran  Devonian Scarp: Bugre District, S o Luis do Purun  District, and Santa Rita Ranch"   elevation 900 to 1142 m	tropical/subtropical dry broadleaf forest		agriculture,grazing		14.000	21.000		1600.0	"subtropical, mesothermic, and constantly humid with mild summers... natural grasslands (Campos Gerais) and Araucaria Pine Forest (Mixed Ombrophilous Forest)... natural grasslands have been extensively converted to grazing fields and alternating crops"	2006, 2007			"We walked an average of 12 km per locality every month from April 2006 through March 2007, in order to search for carnivores' fecal samples in forest fragments, natural grasslands, and pasture fields"	Leopardus	pardalis		21		44	2	2																			J. E. Silva-Pereira, R. F. Moro-Rios, D. R. Bilski, and F. C. Passos. 2011. Diets of three sympatric Neotropical small cats: Food niche overlap and interspecies differences in prey consumption. Mammalian Biology 76:308-312.
John Alroy	John Alroy	2021-06-28 15:55:24	2021-06-28 15:55:24	379	Rio Xingu	Neotropic	Brazil	Pará		continent	-3.200000	-52.200001		"The sampling area was roughly 300 km long, beginning upstream at the confluence of Iriri and Xingu Rivers and continuing downstream to the city Senador Jos  Porf rio"   see Fig. 1	tropical/subtropical upland river								"Samples of Lontra generally are found on the rocks, tree trunks, and sand banks, or near to its burrow entrance... Pteronura feces are generally found in community latrines, scattered on the ground of river banks"	2012, 2013			"Collection of fecal samples... was performed in two hydrologic seasons. August 2012 represented the dry season and February 2013 the rainy season"	Lontra	longicaudis		170		5		3		262				76			1										C. G. Moraes, J. Hegg, T. Giarrizzo, and M. C. Andrade. 2021. Feeding behavior and trophic niche partitioning between co-existing river otter species. Hydrobiologia x:1-11.
John Alroy	John Alroy	2021-06-28 15:55:24	2021-06-28 15:55:24	379	Rio Xingu	Neotropic	Brazil	Pará		continent	-3.200000	-52.200001		"The sampling area was roughly 300 km long, beginning upstream at the confluence of Iriri and Xingu Rivers and continuing downstream to the city Senador Jos  Porf rio"   see Fig. 1	tropical/subtropical upland river								"Samples of Lontra generally are found on the rocks, tree trunks, and sand banks, or near to its burrow entrance... Pteronura feces are generally found in community latrines, scattered on the ground of river banks"	2012, 2013			"Collection of fecal samples... was performed in two hydrologic seasons. August 2012 represented the dry season and February 2013 the rainy season"	Pteronura	brasiliensis		46		1		4		149				1													C. G. Moraes, J. Hegg, T. Giarrizzo, and M. C. Andrade. 2021. Feeding behavior and trophic niche partitioning between co-existing river otter species. Hydrobiologia x:1-11.
John Alroy	John Alroy	2021-06-28 16:19:34	2021-06-28 16:19:34	380	Tanohama	Palearctic	Japan			coastal island	34.570000	129.300003		"The area of the Tanohama district is approximately 20 km2"   see Fig. 1	temperate broadleaf/mixed forest								"the natural vegetation is dominated by deciduous broad-leaved trees"	1986 - 1991			"approximately 14.2 km of farm roads and pathways were established as scat sampling routes"   "Scats were collected monthly from May 1986 to August 1987 in both study areas, and then eight times at irregular intervals until March 1991 in the Tanohama area"   Mustela and Prionailurus counts include a small number of scats from Mitake (see) that were not separated out	Martes	melampus	tsuensis	975		183	43	5	30	10		96	31	76	257	97	24				989		78				M. Tatara and T. Doi. 1994. Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan. Ecological Research 9:99-107.
John Alroy	John Alroy	2021-06-28 16:19:34	2021-06-28 16:19:34	380	Tanohama	Palearctic	Japan			coastal island	34.570000	129.300003		"The area of the Tanohama district is approximately 20 km2"   see Fig. 1	temperate broadleaf/mixed forest								"the natural vegetation is dominated by deciduous broad-leaved trees"	1986 - 1991			"approximately 14.2 km of farm roads and pathways were established as scat sampling routes"   "Scats were collected monthly from May 1986 to August 1987 in both study areas, and then eight times at irregular intervals until March 1991 in the Tanohama area"   Mustela and Prionailurus counts include a small number of scats from Mitake (see) that were not separated out	Mustela	sibirica	coreana	218		156	24	9	5			3	5		60	27					95		5				M. Tatara and T. Doi. 1994. Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan. Ecological Research 9:99-107.
John Alroy	John Alroy	2021-06-28 16:19:34	2021-06-28 16:19:34	380	Tanohama	Palearctic	Japan			coastal island	34.570000	129.300003		"The area of the Tanohama district is approximately 20 km2"   see Fig. 1	temperate broadleaf/mixed forest								"the natural vegetation is dominated by deciduous broad-leaved trees"	1986 - 1991			"approximately 14.2 km of farm roads and pathways were established as scat sampling routes"   "Scats were collected monthly from May 1986 to August 1987 in both study areas, and then eight times at irregular intervals until March 1991 in the Tanohama area"   Mustela and Prionailurus counts include a small number of scats from Mitake (see) that were not separated out	Prionailurus	bengalensis	euptilurus	350		322	128	35	43	4					85												M. Tatara and T. Doi. 1994. Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan. Ecological Research 9:99-107.
John Alroy	John Alroy	2021-06-28 16:19:34	2021-06-28 16:19:34	381	Mitake	Palearctic	Japan			coastal island	34.610001	129.419998		"a mountainous area located in the central part of the North island"   see Fig. 1	temperate broadleaf/mixed forest								"the vegetation consists mainly of primary evergreen forest (dominated by Quercus acuta)"	1986, 1987			"the scat sampling route was approximately 2.8 km of mountaineering trails"   "Scats were collected monthly from May 1986 to August 1987"	Martes	melampus	tsuensis	261		61	18		6			43	5		96	34	4				252	38					M. Tatara and T. Doi. 1994. Comparative analyses on food habits of Japanese marten, Siberian weasel and leopard cat in the Tsushima islands, Japan. Ecological Research 9:99-107.
John Alroy	John Alroy	2021-06-28 11:47:56	2021-06-28 19:04:39	382	Gouli Township	Palearctic	China	Qinghai	Dulan	continent	35.500011	98.666679	4150	"approximately 32 km2 of rolling mountainous terrain in the eastern Kunlun Mountains at elevations of 3800 4500 m"	montane grassland		grazing						"alpine steppe (dominated by Stipa purpurea), alpine meadow (dominated by Kobresia spp.), and shrublands (dominated by Salix spp.). The study area formed the winter grazing area for approximately 10 households of Tibetan pastoralists"	2006 - 2008		spring,autumn	"We collected feces... during September 21 October 21, 2006, March 13 May 20, 2007, September 15 October 17, 2007 and March 6 March 21, 2008"	Vulpes	ferrilata		93		115	2	1							9			3									B. Liu and Z. Jiang. 2003. Diet composition of wolves Canis lupus in the northeastern Qinghai-Tibet Plateau, China. Acta Theriologica 48:255-263.
John Alroy	John Alroy	2021-06-28 19:17:15	2021-06-28 19:17:15	383	Miandasht Wildlife Refuge	Palearctic	Iran			continent	36.900002	56.799999	1120	"near the city of Jajarm"   coordinate based on Miandasht Wildlife Refuge   elevation 900 to 1340 m	desert/xeric shrubland		grazing	14.000				150.0	"a large network of dry river beds and depressions, intermingled with clusters of hills and plateaus... in the winter, an estimated 15,000 head of livestock are permitted to graze the area's pastures"	2004 - 2009			"Field surveys were carried out from March 2004 to August 2009"	Acinonyx	jubatus	venaticus	35		43		2							3			14									M. S. Farhadinia, F. Hosseini-Zavarei, B. Nezami, H. Harati, H. Absalan, E. Fabiano, and L. Marker. 2012. Feeding ecology of the Asiatic cheetah Acinonyx jubatus venaticus in low prey habitats in northeastern Iran: Implications for effective conservation. Journal of Arid Environments 87:206-211.
John Alroy	John Alroy	2021-06-28 19:17:15	2021-06-28 19:17:15	384	Behkadeh No Hunting Area	Palearctic	Iran			continent	37.549999	56.380001		"23,000 ha located 130 km from Mane-Samalghan... The area is a part of a larger integrated area composed of Golestan National Park and Ghorkhod Protected Area" (coordinate based on Golestan National Park)	Mediterranean woodland		grazing	9.000				660.0	"two plains (8600 ha) and mountainous (14,400 ha) biomes... temperate sub humid Mediterranean climates" and "domestic livestock" graze in the area	2007, 2008			surveys were "from September 2007 to August 2008"	Acinonyx	jubatus	venaticus	23		34									1			9									M. S. Farhadinia, F. Hosseini-Zavarei, B. Nezami, H. Harati, H. Absalan, E. Fabiano, and L. Marker. 2012. Feeding ecology of the Asiatic cheetah Acinonyx jubatus venaticus in low prey habitats in northeastern Iran: Implications for effective conservation. Journal of Arid Environments 87:206-211.
