Variable,No,Run1
Locomotion: Semi-fossorial,0.693305214,phylo3
Locomotion: Semi-arboreal,0.650479132,phylo3
Locomotion: Terrestrial,0.02479072,phylo3
Diet: Frugivore/Insectivore,0.717794643,phylo3
Diet: Hypercarnivore,0.548771823,phylo3
Diet: Insectivore,0.508334982,phylo3
Diet: Piscivore,0.468435267,phylo3
Diet: Mixed feeder,0.398794625,phylo3
Diet: Frugivore,0.216518196,phylo3
Activity: Cathemeral/Crepuscular,0.182098767,phylo3
Activity: Diurnal,0.001174642,phylo3
Activity: Nocturnal,0.063195697,phylo3
Social complexity: Solitary,0.094151525,phylo3
Social complexity: Class 1,0.502654287,phylo3
Social complexity: Class 2,0.668854834,phylo3
Social complexity: Class 3,0.631502286,phylo3
Social complexity: Pair-living,0.580539555,phylo3
Social complexity: Familial group,0.048860902,phylo3
Social complexity: Extended group,0.516768947,phylo3
Geographic range,0.254085455,phylo3
